Timestamp,Fx,Fy,Fz,Tx,Ty,Tz,Temperature
6263247682,0.012694459,0.073003545,-5.0093637,3.5644104,-1.7650427,-0.13780344,23.590534
6263257769,0.012431726,0.072278544,-5.0099454,3.6046302,-1.7768728,-0.13607356,23.590534
6263267730,0.012179081,0.072268516,-5.0102425,3.613127,-1.791717,-0.13661027,23.590534
6263277845,0.012070186,0.07230126,-5.009774,3.6035736,-1.7864388,-0.1372896,23.590534
6263288002,0.012233655,0.07225299,-5.0100307,3.606105,-1.7798209,-0.13689007,23.58963
6263297942,0.012173623,0.072785184,-5.010387,3.601387,-1.789513,-0.137423,23.58963
6263307876,0.011966094,0.07364552,-5.011193,3.5716903,-1.7955242,-0.1377456,23.58963
6263317952,0.012108933,0.074162945,-5.0112085,3.546889,-1.7888304,-0.1386856,23.58963
6263327947,0.01202007,0.074358664,-5.010809,3.5420673,-1.7905562,-0.13806175,23.58963
6263338152,0.011628988,0.07488149,-5.01134,3.531534,-1.80002,-0.13991596,23.58963
6263348059,0.011598514,0.07568703,-5.0117455,3.5023694,-1.8012645,-0.1407384,23.58963
6263358133,0.011568796,0.076326,-5.011581,3.4781957,-1.8040011,-0.14195114,23.58963
6263368138,0.010877168,0.0769377,-5.0117188,3.4672515,-1.8293687,-0.14244026,23.58963
6263378248,0.010000109,0.07746601,-5.0113206,3.4525259,-1.8627739,-0.14491612,23.58963
6263388341,0.009589169,0.077529415,-5.0110598,3.44347,-1.8714556,-0.14637107,23.586304
6263398264,0.009580375,0.07661432,-5.0105047,3.4643877,-1.862278,-0.14568304,23.586304
6263408334,0.009602813,0.07555041,-5.009611,3.5014653,-1.8630414,-0.14546365,23.586304
6263418365,0.009725465,0.07482432,-5.0098596,3.528554,-1.8614259,-0.14645977,23.586304
6263428414,0.010366737,0.073982164,-5.0100603,3.5519068,-1.8349266,-0.14585033,23.586304
6263438475,0.011294254,0.07321284,-5.0102096,3.5760818,-1.8048854,-0.14180288,23.586304
6263448525,0.011783916,0.07311673,-5.0106936,3.5833201,-1.7948312,-0.13930398,23.586304
6263458494,0.012212445,0.073256,-5.0107136,3.5734737,-1.7830898,-0.13875453,23.586304
6263468559,0.012858365,0.07303863,-5.0108824,3.5739398,-1.7538112,-0.13770269,23.586304
6263478650,0.013315992,0.07282081,-5.011193,3.587685,-1.7388755,-0.13540542,23.586304
6263488769,0.013093805,0.073142454,-5.011251,3.5841203,-1.7543337,-0.13617995,23.583702
6263498687,0.012590437,0.07382975,-5.0118275,3.5635786,-1.7684863,-0.13848628,23.583702
6263508716,0.012523464,0.07393973,-5.012205,3.555765,-1.7637954,-0.139164,23.583702
6263518740,0.012473621,0.074097864,-5.012217,3.5545704,-1.7676036,-0.1371246,23.583702
6263528822,0.011964373,0.07485303,-5.012392,3.5351837,-1.7911899,-0.1383486,23.583702
6263538881,0.01141426,0.0752499,-5.0119996,3.5163255,-1.810018,-0.14111817,23.583702
6263548863,0.011068629,0.07503039,-5.0121465,3.5263774,-1.8158408,-0.14256309,23.583702
